title,company-name,location,type,salary_package,company_requirements
Customer Support Representative-Voice,[24]7.ai,"Bengaluru, Karnataka",,,"12t/2nd puc/Graduation/Post graduation.
The Customer Service Representative will be responsible for providing customer support, ensuring customer satisfaction,…"
freshers any graduate Bsc/ BA,Client of Shreepati Techno Services,"Markal, Pune, Maharashtra",,"Up to ₹4,50,000","Salary for Freshers -18K* fix if exp then depends on the knowledge and interview.
Graduate Trainee engg* Diploma /BE Mech / ITI freshers."
Retail Assistant,SPARK MEDIA,"Mumbai District, Maharashtra",,"₹11,075.34 - ₹22,977.75",Taking calls from customers and delivering messages while also using basic office equipment like faxes or scanners.
Tele Caller Executive-WFH,SaiVed Perficient Pvt Ltd,"Pollachi, Tamil Nadu",Full-time,,"Potential new markets, and competitive activities relevant to the import/export industry.
The ability to listen actively and understand customer or client needs…"
Freelancer Recruiter,Career Path HR Solution,"Mumbai District, Maharashtra",,"₹15,000 - ₹20,000","Candidate should have experience working with Medical Industry and Real Estate Industry.
Are you comfortable with Profit Sharing Basis (Commission Based Job)."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"Up to ₹25,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",,"Up to ₹4,50,000","Taking notes during patient visits and documenting them in the electronic health records system.
Learning about the medical process and using a team approach in…"
Customer Support Representative-Voice,[24]7.ai,"Bengaluru, Karnataka",Full-time,,"12t/2nd puc/Graduation/Post graduation.
The Customer Service Representative will be responsible for providing customer support, ensuring customer satisfaction,…"
Apollo clinic Staff Nurse Nigdi and Hinjewadi,Apollo Clinic Pune,"Pune, Maharashtra",,"₹10,000 - ₹30,000","Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
Total work: 1 year (Preferred)."
Back Office Support,Hexpress Healthcare Softech Pvt Ltd,"Subhanpura, Vadodara, Gujarat",,"From ₹20,000","2-3 Years of experience as customer support representative.
The successful candidate will be providing all the back-office support to the customer service team."
Back Office Support,Hexpress Healthcare Softech Pvt Ltd,"Subhanpura, Vadodara, Gujarat",,,"2-3 Years of experience as customer support representative.
The successful candidate will be providing all the back-office support to the customer service team."
Customer Service Executive,Shaadi.Com,"Andheri, Mumbai, Maharashtra",,"₹30,000 - ₹35,000","As a Customer Support Executive, you will be at the forefront of our customer interactions, ensuring a seamless experience for our users."
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",Full-time ,,"Pay: ₹25,499.63 - ₹54,152.24 per month.
Taking notes during patient visits and documenting them in the electronic health records system."
freshers any graduate Bsc/ BA,Client of Shreepati Techno Services,"Markal, Pune, Maharashtra",,"Up to ₹4,50,000",Kindly confirm to me which date & time from mentioned above you can come for the interview only face to face no virtual interviews are conducted.
MIS Executive,MNL Gluck,"Jaipur District, Rajasthan",,,"Work Location: On the road.
Pay: ₹11,075.34 - ₹22,977.75 per month.
❖ Hire a Management information System Executive (MIS) who is good with Advance EXCEL."
Retail Assistant,SPARK MEDIA,"Mumbai District, Maharashtra",,"₹11,075.34 - ₹22,977.75","Work Location: On the road.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Retail Assistant.
Taking calls from customers and delivering messages…"
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,,Min. Experience : 02 to 03 Yrs.
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"Up to ₹25,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",,"₹30,000 - ₹35,000","Taking notes during patient visits and documenting them in the electronic health records system.
Learning about the medical process and using a team approach in…"
Customer Support Representative-Voice,[24]7.ai,"Bengaluru, Karnataka",Full-time ,,"12t/2nd puc/Graduation/Post graduation.
The Customer Service Representative will be responsible for providing customer support, ensuring customer satisfaction,…"
Customer Care Executive - Bangalore,Fisher & Paykel Healthcare,"Bengaluru, Karnataka",,"Up to ₹4,50,000","As a Customer Care Executive, you will provide exceptional customer service, support, and information to ensure excellent service standards, respond efficiently…"
Tele Caller Executive-WFH,SaiVed Perficient Pvt Ltd,"Pollachi, Tamil Nadu",,"₹11,075.34 - ₹22,977.75","Potential new markets, and competitive activities relevant to the import/export industry.
The ability to listen actively and understand customer or client needs…"
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",,"₹15,000 - ₹20,000","Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
MIS Executive,MNL Gluck,"Jaipur District, Rajasthan",,"₹11,075.34 - ₹22,977.75","Work Location: On the road.
Pay: ₹11,075.34 - ₹22,977.75 per month.
❖ Hire a Management information System Executive (MIS) who is good with Advance EXCEL."
Retail Assistant,SPARK MEDIA,"Mumbai District, Maharashtra",Full-time,,"Work Location: On the road.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Retail Assistant.
Taking calls from customers and delivering messages…"
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,"₹15,000 - ₹20,000",Min. Experience : 02 to 03 Yrs.
MIS Executive,EDUSOFT HEALTHCARE PRIVATE LIMITED,"Mangolpuri A Block, Delhi, Delhi",,"Up to ₹25,000","Salary - 20 - 50k per month.
Pay: ₹20,000.00 - ₹50,000.00 per month.
At Edusoft Healthcare, our goal is to improve healthcare outcomes through innovation and…"
Video Editor Work From Home,LTC Holiday,"Remote in Delhi, Delhi",Full-time ,,"Pay: ₹5,000.00 - ₹25,000.00 per month.
Developing concepts, graphics and layouts for product illustration.
Proficiency in designing Adobe Photoshop, Illustrator…"
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",,,"Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Pay: Up to ₹25,000.00 per month."
CALL CENTER EXECUTIVE,Votiko 24 *7,"Lal Chowk, Srinagar, Jammu and Kashmir",Full-time,,"At least 3 years of experience in an international call center setting.
Deliver exceptional customer support via calls, emails, and live chat."
freshers any graduate Bsc/ BA,Client of Shreepati Techno Services,"Markal, Pune, Maharashtra",,"₹11,075.34 - ₹22,977.75",Kindly confirm to me which date & time from mentioned above you can come for the interview only face to face no virtual interviews are conducted.
Retail Assistant,SPARK MEDIA,"Mumbai District, Maharashtra",,"₹15,000 - ₹20,000","Work Location: On the road.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Retail Assistant.
Taking calls from customers and delivering messages…"
Video Editor Work From Home,LTC Holiday,"Remote in Delhi, Delhi",Full-time,,"Pay: ₹5,000.00 - ₹25,000.00 per month.
Developing concepts, graphics and layouts for product illustration.
Proficiency in designing Adobe Photoshop, Illustrator…"
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",,"₹10,000 - ₹30,000","We want you to be able to bring your best self to work every day, which is why we take equality and inclusion seriously and hold ourselves to account for our…"
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,,"It is an innovative educational program with a strong emphasis on the care of all its students.
*Have an energetic and positive attitude to travel to schools…"
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹15,000 - ₹20,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"Up to ₹25,000","Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Engr III Cslt-Full Stack,Verizon3.8,"Bengaluru, Karnataka",,"₹18,000 - ₹20,000","Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Working with development teams and product managers to…"
Medical Writer,Crazy Fox Creations,"Remote in Lucknow, Uttar Pradesh",,"₹30,000 - ₹35,000","As a medical writer, you will be required to write factually-correct articles describing various diseases and medical conditions in detail."
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",,,"Taking notes during patient visits and documenting them in the electronic health records system.
Learning about the medical process and using a team approach in…"
Customer Care Executive - Bangalore,Fisher & Paykel Healthcare,"Bengaluru, Karnataka",,"₹18,000 - ₹25,000","As a Customer Care Executive, you will provide exceptional customer service, support, and information to ensure excellent service standards, respond efficiently…"
Primary Science & Maths Teacher - Pune,Orchids The International School3.1,"Manjri, Pune, Maharashtra",Full-time ,,"Keep an eye on the behavior and psychology of the students to understand any downfalls.
Encourage student involvement in lessons and other activities related to…"
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,"₹11,075.34 - ₹22,977.75",No. of vacancy : 1 Qualification : Inter / Graduation Min. Experience : 02 to 03…
Freelancer Recruiter,Career Path HR Solution,"Mumbai District, Maharashtra",Full-time,,"Candidate should have experience working with Medical Industry and Real Estate Industry.
Are you comfortable with Profit Sharing Basis (Commission Based Job)."
MIS Executive,EDUSOFT HEALTHCARE PRIVATE LIMITED,"Mangolpuri A Block, Delhi, Delhi",,"₹15,000 - ₹20,000","Walk In Interview - 10 sept - 12 sept , 10 am - 4pm.
Assisting in strategic planning and implementation of new or existing information systems."
freshers any graduate Bsc/ BA,Client of Shreepati Techno Services,"Markal, Pune, Maharashtra",,"₹18,000 - ₹25,000","Salary for Freshers -18K* fix if exp then depends on the knowledge and interview.
Graduate Trainee engg* Diploma /BE Mech / ITI freshers."
Customer Care Executive - Bangalore,Fisher & Paykel Healthcare,"Bengaluru, Karnataka",Full-time ,,"As a Customer Care Executive, you will provide exceptional customer service, support, and information to ensure excellent service standards, respond efficiently…"
Primary Science & Maths Teacher - Pune,Orchids The International School3.1,"Manjri, Pune, Maharashtra",,,"Keep an eye on the behavior and psychology of the students to understand any downfalls.
Encourage student involvement in lessons and other activities related to…"
Mathematics Tutor (Online),Nestsoft technologies,Remote in India,,"₹15,000 - ₹20,000",Details: We are seeking an experienced Mathematics Tutor to provide high-quality tutoring for students from CBSE and ICSE boards up to the Plus Two level.
Engr III Cslt-Full Stack,Verizon3.8,"Bengaluru, Karnataka",,"Up to ₹25,000","Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Working with development teams and product managers to…"
Video Editor Work From Home,LTC Holiday,"Remote in Delhi, Delhi",,"From ₹20,000","Developing concepts, graphics and layouts for product illustration.
Create engaging videos by editing footage, adding special effects, transitions, and…"
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",Full-time ,,"Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Maintaining a hygienic and safe working environment in…"
Back Office Support,Hexpress Healthcare Softech Pvt Ltd,"Subhanpura, Vadodara, Gujarat",,"₹15,000 - ₹20,000","2-3 Years of experience as customer support representative.
The successful candidate will be providing all the back-office support to the customer service team."
Apollo clinic Staff Nurse Nigdi and Hinjewadi,Apollo Clinic Pune,"Pune, Maharashtra",,,"Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
Total work: 1 year (Preferred)."
Engr III Cslt-Full Stack,Verizon3.8,"Bengaluru, Karnataka",,"₹10,000 - ₹30,000","Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Working with development teams and product managers to…"
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",,"Up to ₹4,50,000","Pay: ₹25,499.63 - ₹54,152.24 per month.
Taking notes during patient visits and documenting them in the electronic health records system."
MIS Executive,MNL Gluck,"Jaipur District, Rajasthan",Full-time,,"Work Location: On the road.
Pay: ₹11,075.34 - ₹22,977.75 per month.
❖ Hire a Management information System Executive (MIS) who is good with Advance EXCEL."
Retail Assistant,SPARK MEDIA,"Mumbai District, Maharashtra",,,"Work Location: On the road.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Retail Assistant.
Taking calls from customers and delivering messages…"
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹18,000 - ₹20,000","Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",,"Up to ₹25,000","Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Maintaining a hygienic and safe working environment in…"
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",Full-time,,"Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Pay: Up to ₹25,000.00 per month."
Document controller,Emerson,"Remote in Nashik, Maharashtra",Full-time,,"Whether you’re an established professional looking for a career change, an undergraduate student exploring possibilities, or a recent graduate with an advanced…"
Customer Service Executive,Shaadi.Com,"Andheri, Mumbai, Maharashtra",Full-time ,,"As a Customer Support Executive, you will be at the forefront of our customer interactions, ensuring a seamless experience for our users."
Medical Scribe,Fusion Market Research,"Satara, Maharashtra",,,"Pay: ₹25,499.63 - ₹54,152.24 per month.
Taking notes during patient visits and documenting them in the electronic health records system."
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"Up to ₹25,000",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
Tele Caller Executive-WFH,SaiVed Perficient Pvt Ltd,"Pollachi, Tamil Nadu",Full-time ,,"Potential new markets, and competitive activities relevant to the import/export industry.
The ability to listen actively and understand customer or client needs…"
Mathematics Tutor (Online),Nestsoft technologies,Remote in India,Full-time,,Details: We are seeking an experienced Mathematics Tutor to provide high-quality tutoring for students from CBSE and ICSE boards up to the Plus Two level.
Global Solution Architect,Arcadis,"Bengaluru, Karnataka",,,"Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Presales Solution Architect,Adobe,"Bengaluru, Karnataka",,"Up to ₹25,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹10,000 - ₹30,000","Do you have experience in pneumatic systems and simple electrical systems?
Pay: ₹18,000.00 - ₹20,000.00 per month.
Knowledge in PLC is a plus."
Back Office Support,Hexpress Healthcare Softech Pvt Ltd,"Subhanpura, Vadodara, Gujarat",,"₹10,000 - ₹30,000","2-3 Years of experience as customer support representative.
The successful candidate will be providing all the back-office support to the customer service team."
Global Solution Architect,Arcadis,"Bengaluru, Karnataka",Full-time,,"Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Presales Solution Architect,Adobe,"Bengaluru, Karnataka",Full-time ,,Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"Up to ₹4,50,000","Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,Full-time,,"Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,,"WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",Full-time ,,"They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Data Analytics Fresher,RP2,"Kochi, Kerala",Monday to Friday ,,"Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",,"₹15,000 - ₹20,000","Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Field Recruiter,V k Logistics,"Medinipur, West Bengal",Full-time,,"Job Types: Full-time, Part-time, Permanent, Freelance.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,,"Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹25,000 - ₹35,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"Up to ₹15,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",Full-time,,"Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,,"₹6,00,000 - ₹10,50,000","Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",Full-time ,,"WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
QA Manual Tester,Stark.Ai,Remote,,"₹15,000 - ₹20,000","Their role is to identify potential user issues and help developers find solutions.
Analysis and execution of test cases.
Job Types: Full-time, Permanent."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",Full-time,,"They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Data Analytics Fresher,RP2,"Kochi, Kerala",,,"Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",,"₹25,000 - ₹35,000","Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,"Up to ₹15,000","Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,,,"Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",Full-time,,"WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",,"₹6,00,000 - ₹10,50,000","Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",Monday to Friday ,,"They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Data Analytics Fresher,RP2,"Kochi, Kerala",,"₹15,000 - ₹20,000","Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",Full-time,,"Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Field Recruiter,V k Logistics,"Medinipur, West Bengal",,,"Job Types: Full-time, Part-time, Permanent, Freelance.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,"₹25,000 - ₹35,000","Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",,"Up to ₹15,000","Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Maintaining a hygienic and safe working environment in…"
Office Administrator,Rehaan Global Pvt Ltd,"Gwalior, Madhya Pradesh",,"₹12,000 - ₹15,000","Assist with recruitment processes, including posting job vacancies and scheduling interviews.
Professional demeanor and customer service orientation."
Lab Assistant,Hatsun Agro Product Ltd,"Dharapuram, Tamil Nadu",,"Up to ₹4,50,000","Must have min 1 or 2 years of experience in food industry is preferred.
The role holder is responsible for performing the day to day QC laboratory activities."
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,,"Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,"₹6,00,000 - ₹10,50,000","WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",,"₹15,000 - ₹20,000","They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Data Analytics Fresher,RP2,"Kochi, Kerala",Full-time,,"Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",,,"Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"Up to ₹15,000",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
CALL CENTER EXECUTIVE,Votiko 24 *7,"Lal Chowk, Srinagar, Jammu and Kashmir",,"₹12,000 - ₹15,000","At least 3 years of experience in an international call center setting.
Deliver exceptional customer support via calls, emails, and live chat."
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹25,000 - ₹35,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",Full-time,,"Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"Up to ₹15,000","We are looking for Machine Maintenance Staff with 10 to 15 years experience.
Experience with machinery, pneumatic systems and simple electrical knowledge…"
Mathematics Tutor (Online),Nestsoft technologies,Remote in India,,"₹25,000 - ₹35,000",Details: We are seeking an experienced Mathematics Tutor to provide high-quality tutoring for students from CBSE and ICSE boards up to the Plus Two level.
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"Up to ₹15,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,"Up to ₹15,000",No. of vacancy : 1 Qualification : Inter / Graduation Min. Experience : 02 to 03…
Field Recruiter,V k Logistics,"Medinipur, West Bengal",,"₹25,000 - ₹35,000","Job Types: Full-time, Part-time, Permanent, Freelance.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,"₹10,000 - ₹30,000","Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"Up to ₹4,50,000","Pay: ₹20,000.00 - ₹25,000.00 per month.
Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,Full-time,,"Are you an expert in research and academic writing?
Acadlance is looking for talented academic writers to join our platform and take on numerous tasks all at…"
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,,"Pay: ₹6,000.00 - ₹15,000.00 per month.
WE Need Employee for Product Packaging and maintain Couriers order on daily.
Basic Qualification should be Matric."
QA Manual Tester,Stark.Ai,Remote,,"₹6,00,000 - ₹10,50,000","Their role is to identify potential user issues and help developers find solutions.
Identifies problems and bugs in software throughout the development cycle…"
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",Full-time ,,"Talk to client and provide information about us.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are looking for a work from home SALES ASSISTANT."
Data Analytics Fresher,RP2,"Kochi, Kerala",Monday to Friday ,,This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",,"₹15,000 - ₹20,000",This role as an Executive or Sr. Executive – Lead Optimization at our company offers an exciting opportunity to utilize your tele sales expertise and customer…
Field Recruiter,V k Logistics,"Medinipur, West Bengal",Full-time,,"Pay: ₹15,000.00 - ₹30,000.00 per month.
Responsibilities Of Candidates Includes: * Hiring Candidates * Ensuring Business Needs For Hiring Are Met * Must Have…"
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,,"Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Pay: Up to ₹15,000.00 per month."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"Up to ₹15,000","Do you have experience in pneumatic systems and simple electrical systems?
Pay: ₹18,000.00 - ₹20,000.00 per month.
Knowledge in PLC is a plus."
Engr III Cslt-Full Stack,Verizon3.8,"Bengaluru, Karnataka",,"Up to ₹15,000","Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Working with development teams and product managers to…"
"Mechanical Maintenance Supervisor (Vadodara,Gujarat)",Bharat Corrub Industries LLP,"Vadodara, Gujarat",,"Up to ₹15,000","Rubber industry: 3 years (Preferred).
*Preferable to have worked in Rubber industry*.
Taking care of the entire maintenance department."
Tele Calling Executive,Urbancrafts.in,"Remote in Noida, Uttar Pradesh",,"₹10,000 - ₹20,000",Total work: 1 year (Preferred).
Sales Telecaller,Fab Mediatech Pvt Ltd.,"Remote in Mathura, Uttar Pradesh",Full-time,,"As a telecaller, you will be responsible for contacting potential customers to promote and sell our credit card products.
Technical support: 1 year (Preferred)."
Store Keeper,Brring 2.0 Perishable Distribution Solutions Pvt....,"Sakinaka, Mumbai, Maharashtra",,,"Organize and store goods in an orderly manner to optimize space and accessibility.
Maintain a clean and safe working environment."
Tele Caller Executive,Riyom Technologies,"Jayanagar, Bengaluru, Karnataka",,"₹25,000 - ₹35,000","*Provide excellent customer service to ensure client satisfaction and retention.
*Respond to client queries regarding offers, treatments, and packages,…"
Lab Assistant,Hatsun Agro Product Ltd,"Dharapuram, Tamil Nadu",,"₹15,000 - ₹25,000","Must have min 1 or 2 years of experience in food industry is preferred.
The role holder is responsible for performing the day to day QC laboratory activities."
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"₹12,000 - ₹15,000","Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,"Up to ₹4,50,000","WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹6,00,000 - ₹10,50,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Tele Caller Executive,Riyom Technologies,"Jayanagar, Bengaluru, Karnataka",,"₹15,000 - ₹25,000","*Provide excellent customer service to ensure client satisfaction and retention.
*Respond to client queries regarding offers, treatments, and packages,…"
